Product Name,Description,URL,Page Number,Cleaned Description
TruffleHog OSS,Scan Github Actions with TruffleHog,https://github.com/marketplace/actions/trufflehog-oss,1,scan github action trufflehog
Metrics embed,An infographics generator with 40+ plugins and 300+ options to display stats about your GitHub account,https://github.com/marketplace/actions/metrics-embed,1,infographics generator plugins option display stats github account
yq - portable yaml processor,"create, read, update, delete, merge, validate and do more with yaml",https://github.com/marketplace/actions/yq-portable-yaml-processor,1,create read update delete merge validate yaml
Super-Linter,"Super-linter is a ready-to-run collection of linters and code analyzers, to help validate your source code",https://github.com/marketplace/actions/super-linter,1,superlinter readytorun collection linters code analyzer help validate source code
Gosec Security Checker,Runs the gosec security checker,https://github.com/marketplace/actions/gosec-security-checker,1,run gosec security checker
Rebuild Armbian and Kernel,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/rebuild-armbian-and-kernel,1,support amlogic rockchip allwinner box
OpenCommit — improve commits with AI 🧙,Replaces lame commit messages with meaningful AI-generated messages when you push to remote,https://github.com/marketplace/actions/opencommit-improve-commits-with-ai,1,replaces lame commit message meaningful aigenerated message push remote
Checkout,Checkout a Git repository at a particular version,https://github.com/marketplace/actions/checkout,1,checkout git repository particular version
SSH Remote Commands,Executing remote ssh commands,https://github.com/marketplace/actions/ssh-remote-commands,1,executing remote ssh command
GitHub Pages action,GitHub Actions for GitHub Pages 🚀 Deploy static files and publish your site easily. Static-Site-Generators-friendly,https://github.com/marketplace/actions/github-pages-action,1,github action github page deploy static file publish site easily staticsitegeneratorsfriendly
Cache,Cache artifacts like dependencies and build outputs to improve workflow execution time,https://github.com/marketplace/actions/cache,1,cache artifact like dependency build output improve workflow execution time
generate-snake-game-from-github-contribution-grid,Generates a snake game from a github user contributions grid. Output the animation as gif or svg,https://github.com/marketplace/actions/generate-snake-game-from-github-contribution-grid,1,generates snake game github user contribution grid output animation gif svg
Build and push Docker images,Build and push Docker images with Buildx,https://github.com/marketplace/actions/build-and-push-docker-images,1,build push docker image buildx
GH Release,Github Action for creating Github Releases,https://github.com/marketplace/actions/gh-release,1,github action creating github release
run-digger,Manage terraform collaboration,https://github.com/marketplace/actions/run-digger,1,manage terraform collaboration
Rebuild Armbian,Build Armbian Linux,https://github.com/marketplace/actions/rebuild-armbian,1,build armbian linux
GitHub Script,Run simple scripts using the GitHub client,https://github.com/marketplace/actions/github-script,1,run simple script using github client
Deploy to GitHub Pages,This action will handle the deployment process of your project to GitHub Pages,https://github.com/marketplace/actions/deploy-to-github-pages,1,action handle deployment process project github page
ChatGPT CodeReviewer,A Code Review Action Powered By ChatGPT,https://github.com/marketplace/actions/chatgpt-codereviewer,1,code review action powered chatgpt
FTP Deploy,Automate deploying websites and more with this GitHub action via FTP and FTPS,https://github.com/marketplace/actions/ftp-deploy,1,automate deploying website github action via ftp ftp
Setup Node.js environment,Setup a Node.js environment by adding problem matchers and optionally downloading and adding it to the PATH,https://github.com/marketplace/actions/setup-node-js-environment,2,setup nodejs environment adding problem matcher optionally downloading adding path
run-ansible-lint,Run Ansible Lint,https://github.com/marketplace/actions/run-ansible-lint,2,run ansible lint
fastpages: An easy to use blogging platform with support for Jupyter Notebooks.,Converts Jupyter notebooks and Word docs into Jekyll blog posts,https://github.com/marketplace/actions/fastpages-an-easy-to-use-blogging-platform-with-support-for-jupyter-notebooks,2,convert jupyter notebook word doc jekyll blog post
Release Drafter,Drafts your next release notes as pull requests are merged into master,https://github.com/marketplace/actions/release-drafter,2,draft next release note pull request merged master
Profile Readme Development Stats,Are you an early 🐤 or a night 🦉? When are you most productive during the day? Let s check out in your readme,https://github.com/marketplace/actions/profile-readme-development-stats,2,early night productive day let check readme
Upload a Build Artifact,Upload a build artifact that can be used by subsequent workflow steps,https://github.com/marketplace/actions/upload-a-build-artifact,2,upload build artifact used subsequent workflow step
Debugging with tmate,Debug your GitHub Actions Environment interactively by using SSH or a Web shell,https://github.com/marketplace/actions/debugging-with-tmate,2,debug github action environment interactively using ssh web shell
Blog Post Workflow,Allows you to show your latest blog posts on your github profile or project readme,https://github.com/marketplace/actions/blog-post-workflow,2,allows show latest blog post github profile project readme
Setup PHP Action,GitHub Action for PHP,https://github.com/marketplace/actions/setup-php-action,2,github action php
typos-action,Run typos to check spelling in GitHub actions,https://github.com/marketplace/actions/typos-action,2,run typo check spelling github action
GitHub-Profile-Summary-Cards,Generate profile summary cards and commit to default branch,https://github.com/marketplace/actions/github-profile-summary-cards,2,generate profile summary card commit default branch
Hercules Insights,Run various Git history analyses with src-d/hercules,https://github.com/marketplace/actions/hercules-insights,2,run various git history analysis srcdhercules
wemake-python-styleguide,Runs wemake-python-styleguide as a Github Action,https://github.com/marketplace/actions/wemake-python-styleguide,2,run wemakepythonstyleguide github action
"""Configure AWS Credentials"" Action for GitHub Actions",Configures AWS credentials for use in subsequent steps in a GitHub Action workflow,https://github.com/marketplace/actions/configure-aws-credentials-action-for-github-actions,2,configures aws credential use subsequent step github action workflow
Paths Changes Filter,Execute your workflow steps only if relevant files are modified,https://github.com/marketplace/actions/paths-changes-filter,2,execute workflow step relevant file modified
Flutter action,Setup your runner with Flutter environment,https://github.com/marketplace/actions/flutter-action,2,setup runner flutter environment
Create Pull Request,Creates a pull request for changes to your repository in the actions workspace,https://github.com/marketplace/actions/create-pull-request,2,creates pull request change repository action workspace
Git Auto Commit,Automatically commits files which have been changed during the workflow run and push changes back to remote repository,https://github.com/marketplace/actions/git-auto-commit,2,automatically commits file changed workflow run push change back remote repository
Labeler,Automatically label new pull requests based on the paths of files being changed,https://github.com/marketplace/actions/labeler,2,automatically label new pull request based path file changed
Make OpenWrt,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/make-openwrt,2,support amlogic rockchip allwinner box
MegaLinter,Combine all available linters to automatically validate your sources without configuration,https://github.com/marketplace/actions/megalinter,3,combine available linters automatically validate source without configuration
jd - JSON diff and patch,jd is a utility for diffing and patching JSON and YAML values. It also supports JSON Merge Patch and a subset of JSON Patch,https://github.com/marketplace/actions/jd-json-diff-and-patch,3,jd utility diffing patching json yaml value also support json merge patch subset json patch
Is Website vulnerable,Scans a url for public javascript library vulnerabilities,https://github.com/marketplace/actions/is-website-vulnerable,3,scan url public javascript library vulnerability
Changed Files,"Get all Added, Copied, Modified, Deleted, Renamed, Type changed, Unmerged, and Unknown files",https://github.com/marketplace/actions/changed-files,3,get added copied modified deleted renamed type changed unmerged unknown file
release-please-action,automated releases based on conventional commits,https://github.com/marketplace/actions/release-please-action,3,automated release based conventional commits
Code Review GPT,Reviews the staged files with a GPT model from OpenAI,https://github.com/marketplace/actions/code-review-gpt,3,review staged file gpt model openai
Setup Python,Set up a specific version of Python and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-python,3,set specific version python add commandline tool path
Install cargo-binstall,Install the latest version of cargo-binstall tool,https://github.com/marketplace/actions/install-cargo-binstall,3,install latest version cargobinstall tool
Set up gcloud Cloud SDK environment,"Downloads, installs, and configures a Google Cloud SDK environment. Adds the gcloud CLI command to the $PATH",https://github.com/marketplace/actions/set-up-gcloud-cloud-sdk-environment,3,downloads installs configures google cloud sdk environment add gcloud cli command path
Step CI Action,Run Step CI workflows,https://github.com/marketplace/actions/step-ci-action,3,run step ci workflow
Swift Doc,Generates documentation for your Swift project,https://github.com/marketplace/actions/swift-doc,3,generates documentation swift project
The SILE Typesetter,Simon’s Improved Layout Engine,https://github.com/marketplace/actions/the-sile-typesetter,3,simon improved layout engine
GraphQL Inspector,"Tooling for GraphQL. Compare schemas, find breaking changes, find similar types",https://github.com/marketplace/actions/graphql-inspector,3,tooling graphql compare schema find breaking change find similar type
AI-based PR Reviewer & Summarizer with Chat Capabilities,AI-based PR Reviewer Summarizer with Chat Capabilities,https://github.com/marketplace/actions/ai-based-pr-reviewer-summarizer-with-chat-capabilities,3,aibased pr reviewer summarizer chat capability
Waka - Readme,WakaTime coding activity graph in your profile readme,https://github.com/marketplace/actions/waka-readme,3,wakatime coding activity graph profile readme
Setup Java JDK,Set up a specific version of the Java JDK and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-java-jdk,3,set specific version java jdk add commandline tool path
Codecov,GitHub Action that uploads coverage reports for your repository to codecov.io,https://github.com/marketplace/actions/codecov,3,github action uploads coverage report repository codecovio
Languine.ai,Automated localization infrastructure,https://github.com/marketplace/actions/languine-ai,3,automated localization infrastructure
setup-ngs,Next Generation Shell (NGS),https://github.com/marketplace/actions/setup-ngs,3,next generation shell ng
Download a Build Artifact,Download a build artifact that was previously uploaded in the workflow by the upload-artifact action,https://github.com/marketplace/actions/download-a-build-artifact,3,download build artifact previously uploaded workflow uploadartifact action
Lua Busted,Busted,https://github.com/marketplace/actions/lua-busted,4,busted
Hugo setup,GitHub Actions for Hugo ⚡️ Setup Hugo quickly and build your site fast. Hugo extended and Hugo Modules are supported,https://github.com/marketplace/actions/hugo-setup,4,github action hugo setup hugo quickly build site fast hugo extended hugo module supported
Create Release,Creates github releases,https://github.com/marketplace/actions/create-release,4,creates github release
Setup Go environment,Setup a Go environment and add it to the PATH,https://github.com/marketplace/actions/setup-go-environment,4,setup go environment add path
Image Actions,Compresses Images for the Web,https://github.com/marketplace/actions/image-actions,4,compress image web
waka-box,Update a pinned gist to contain WakaTime stats,https://github.com/marketplace/actions/waka-box,4,update pinned gist contain wakatime stats
Close Stale Issues,Close issues and pull requests with no recent activity,https://github.com/marketplace/actions/close-stale-issues,4,close issue pull request recent activity
HashiCorp - Setup Terraform,Sets up Terraform CLI in your GitHub Actions workflow,https://github.com/marketplace/actions/hashicorp-setup-terraform,4,set terraform cli github action workflow
Lost Pixel,Lost Pixel Integration,https://github.com/marketplace/actions/lost-pixel,4,lost pixel integration
Rust Cache,A GitHub Action that implements smart caching for rust/cargo projects with sensible defaults,https://github.com/marketplace/actions/rust-cache,4,github action implement smart caching rustcargo project sensible default
Cypress.io,GitHub Action for running Cypress end-to-end and component tests,https://github.com/marketplace/actions/cypress-io,4,github action running cypress endtoend component test
Deploy to Cloudflare Workers with Wrangler,Deploy your Cloudflare projects from GitHub using Wrangler,https://github.com/marketplace/actions/deploy-to-cloudflare-workers-with-wrangler,4,deploy cloudflare project github using wrangler
Replexica,Accurate AI localization for web mobile apps,https://github.com/marketplace/actions/replexica,4,accurate ai localization web mobile apps
SCP Files,Copy files and artifacts via SSH,https://github.com/marketplace/actions/scp-files,4,copy file artifact via ssh
